,prefix,subject,fwh,mask,stat,mean,std
858,rs,sub-xp207,5,union,std,2.59053897857666,5.680703163146973
857,rr,sub-1,1,union,sig,6.891668807606316,1.9524683376666785
856,rr,sub-xp201,20,union,sig,10.067446024515428,1.0516356583062612
855,rs,sub-xp207,1,union,std,7.851484298706055,14.811296463012695
854,rr,sub-adult16,20,union,mean,5456.4287109375,715.8731689453125
853,rr.rs,sub-xp201,0,union,sig,4.574251116282988,1.5766588781182365
852,rr,sub-36,16,union,sig,9.513770695941666,0.7506960676127037
851,rr.rs,sub-xp201,19,union,sig,5.989798911097538,1.439595011323693
850,rr,sub-adult15,17,union,mean,3801.244384765625,559.0111694335938
849,rr.rs,sub-adult15,5,union,std,15.974273681640625,16.613746643066406
848,rr,sub-xp207,20,union,std,0.6424806714057922,0.5711173415184021
847,rr.rs,sub-adult15,20,union,sig,8.391796963035095,0.6776125726822796
846,rs,sub-1,19,union,sig,7.051194709894162,0.3005218684763723
845,rr.rs,sub-xp207,19,union,std,0.7244443893432617,0.6248400807380676
844,rr,sub-adult15,18,union,mean,3795.6337890625,540.9334716796875
843,rr,sub-CTS201,7,union,std,0.6618374586105347,0.8898859620094299
842,rs,sub-xp207,9,union,std,1.3646358251571655,2.450059175491333
841,rs,sub-CTS201,20,union,std,0.4928847551345825,0.32126063108444214
840,rr.rs,sub-xp201,11,union,sig,5.816551396406832,1.4198156688794088
839,rr,sub-xp201,7,union,std,0.9766906499862671,1.1823810338974
838,rr.rs,sub-xp201,8,union,sig,5.66798268708271,1.4129009050072059
837,rs,sub-36,6,union,std,0.7457752227783203,0.8618797659873962
836,rr,sub-1,9,union,sig,8.885699301664413,1.2393316954605003
835,rr.rs,sub-36,15,union,sig,9.333860188045074,0.8856648418270551
834,rs,sub-36,11,union,mean,400.5711669921875,41.68682098388672
833,rs,sub-CTS210,12,union,std,0.4832318425178528,0.4885717034339905
832,rr.rs,sub-xp207,11,union,std,1.067586064338684,1.6166009902954102
831,rs,sub-1,11,union,sig,7.014342795198821,0.3725522755764637
830,rs,sub-1,5,union,sig,6.845157917020826,0.6377977478223551
829,rr.rs,sub-adult16,6,union,std,11.165566444396973,13.022149085998535
828,rs,sub-adult15,16,union,sig,8.31625394801781,0.7584297843837363
827,rr.rs,sub-xp207,15,union,std,0.8388931155204773,0.9307226538658142
826,rr,sub-36,7,union,mean,405.7533264160156,48.44481658935547
825,rs,sub-CTS210,16,union,std,0.3839733302593231,0.3634105920791626
824,rs,sub-adult15,12,union,sig,8.201174358750237,0.8184004399098306
823,rr.rs,sub-adult16,2,union,std,22.156301498413086,31.247657775878906
822,rs,sub-1,1,union,sig,6.264146256618218,1.1850552735793918
821,rs,sub-1,15,union,sig,7.034119523116022,0.31583524733049173
820,rr,sub-xp201,3,union,std,2.2461516857147217,3.365938186645508
819,rr.rs,sub-xp201,15,union,sig,5.921956944122665,1.432225461435182
818,rr,sub-CTS201,5,union,mean,394.7640686035156,59.73296356201172
817,rr.rs,sub-adult15,9,union,std,10.507332801818848,8.076329231262207
816,rr,sub-36,8,union,mean,404.2622375488281,46.203521728515625
815,rr.rs,sub-36,11,union,sig,9.208638264630123,1.0320937456649175
814,rs,sub-CTS210,20,union,mean,112.33549499511719,6.917673110961914
813,rs,sub-xp207,13,union,mean,455.3091125488281,44.129302978515625
812,rs,sub-36,2,union,std,1.5219680070877075,2.1783416271209717
811,rs,sub-xp207,17,union,std,0.8089281916618347,0.8399345874786377
810,rr,sub-adult16,13,union,std,6.822664737701416,5.068112850189209
809,rr.rs,sub-xp201,5,union,mean,639.1531372070312,93.59329986572266
808,rr,sub-CTS201,15,union,sig,9.403558580846347,0.8656241478817639
807,rr,sub-xp207,15,union,mean,454.68658447265625,41.24822235107422
806,rs,sub-xp201,17,union,sig,9.855993402700415,0.9221961849034691
805,rs,sub-1,5,union,mean,682.1126708984375,109.51380920410156
804,rs,sub-adult15,0,union,std,42.13523483276367,59.357330322265625
803,rs,sub-CTS201,3,union,mean,396.8597106933594,67.9120101928711
802,rr,sub-xp207,5,union,std,2.3902432918548584,4.672937393188477
801,rr.rs,sub-1,19,union,std,3.3868861198425293,0.4289970099925995
800,rs,sub-xp201,13,union,sig,9.690168245428435,1.0058857008148159
799,rr,sub-36,17,union,mean,394.5197448730469,37.092708587646484
798,rr.rs,sub-36,19,union,mean,392.74871826171875,36.18244171142578
797,rr,sub-xp207,1,union,std,7.539814472198486,13.328034400939941
796,rs,sub-adult15,4,union,std,17.01381492614746,18.876401901245117
795,rs,sub-36,6,union,mean,407.559814453125,51.183998107910156
794,rr.rs,sub-adult16,19,union,std,5.889983654022217,5.243331432342529
793,rr,sub-36,18,union,mean,393.6192932128906,36.607337951660156
792,rs,sub-xp207,13,union,std,0.9781408905982971,1.316529393196106
791,rr,sub-CTS210,8,union,sig,7.516050704543233,1.5307357422963275
790,rr.rs,sub-36,16,union,mean,395.4582824707031,37.640621185302734
789,rr.rs,sub-36,5,union,mean,409.00604248046875,54.80249786376953
788,rr.rs,sub-CTS210,2,union,mean,116.62213897705078,15.438653945922852
787,rr,sub-CTS201,11,union,sig,9.301549864341423,0.9936536647554789
786,rs,sub-36,9,union,mean,403.0730285644531,44.351566314697266
785,rr,sub-adult16,17,union,std,6.131204605102539,3.966365098953247
784,rr.rs,sub-xp207,6,union,sig,7.897114367067938,1.3145389934952432
783,rr.rs,sub-CTS210,18,union,mean,112.78900146484375,7.008433818817139
782,rr,sub-xp207,9,union,std,1.2340043783187866,1.9875966310501099
781,rs,sub-xp201,7,union,std,0.9551757574081421,1.112013578414917
780,rr.rs,sub-xp201,13,union,mean,624.8107299804688,69.14974212646484
779,rr.rs,sub-1,11,union,std,3.5949089527130127,0.8290430307388306
778,rr,sub-CTS201,19,union,sig,9.45672704777532,0.776575642721145
777,rr.rs,sub-CTS210,13,union,std,0.43214213848114014,0.42017117142677307
776,rr.rs,sub-CTS210,17,union,mean,113.0229721069336,6.983726501464844
775,rr,sub-CTS210,0,union,sig,4.047005330004775,1.4126680335921202
774,rs,sub-xp207,2,union,mean,464.1978454589844,92.80551147460938
773,rs,sub-adult16,7,union,std,9.073582649230957,9.922398567199707
772,rr.rs,sub-adult16,11,union,std,7.571110248565674,7.621710300445557
771,rr.rs,sub-36,6,union,sig,8.866513829054323,1.2935786494602355
770,rr.rs,sub-CTS210,17,union,std,0.357351154088974,0.3229643702507019
769,rr,sub-adult16,2,union,mean,5654.9404296875,1540.75537109375
768,rs,sub-adult16,1,union,mean,5675.0927734375,1665.4498291015625
767,rr,sub-xp207,3,union,mean,463.323974609375,84.44420623779297
766,rr.rs,sub-36,2,union,sig,8.109069507648167,1.5898221624999753
765,rr.rs,sub-adult16,15,union,std,6.4915056228637695,6.147242546081543
764,rs,sub-adult16,3,union,std,15.16209888458252,19.22889518737793
763,rr,sub-CTS210,4,union,sig,6.578829160479522,1.7109615888823893
762,rs,sub-adult15,8,union,std,10.772046089172363,8.325847625732422
761,rs,sub-xp201,3,union,std,2.1860084533691406,3.4086668491363525
760,rr.rs,sub-xp207,2,union,sig,6.927605027069058,1.7800288959710415
759,rr.rs,sub-CTS201,11,union,mean,390.4278259277344,45.59976577758789
758,rr.rs,sub-adult15,13,union,mean,3819.879150390625,647.49169921875
757,rr.rs,sub-1,15,union,std,3.460502862930298,0.5278117656707764
756,rs,sub-CTS201,10,union,std,0.6210383772850037,0.619937002658844
755,rr,sub-xp201,18,union,sig,10.022762665060396,1.0938077006888824
754,rs,sub-36,15,union,sig,9.350500780622623,0.831020417862091
753,rs,sub-36,12,union,mean,399.4561462402344,40.654354095458984
752,rr,sub-adult15,16,union,sig,8.576210668329423,0.7462856498568565
751,rr,sub-adult15,5,union,sig,7.721581235086085,1.3466469926505735
750,rs,sub-CTS210,3,union,sig,5.799734524496373,1.749744267692471
749,rr.rs,sub-adult15,18,union,sig,8.346480084534951,0.7021422649883198
748,rr.rs,sub-CTS201,6,union,std,0.8106942772865295,1.1590598821640015
747,rr,sub-xp207,18,union,std,0.6857790350914001,0.6649215817451477
746,rr,sub-adult15,1,union,sig,6.460577297732899,1.8318849981373144
745,rr,sub-adult15,12,union,sig,8.404645300665049,0.8762962522663827
744,rr,sub-36,4,union,mean,410.6524963378906,59.12299728393555
743,rs,sub-36,11,union,sig,9.19479340336517,0.9622376114136623
742,rr,sub-CTS201,9,union,mean,391.8623962402344,48.723026275634766
741,rr.rs,sub-CTS201,2,union,std,1.5651471614837646,2.6862423419952393
740,rs,sub-CTS210,7,union,sig,6.921747856460974,1.6137888203369641
739,rr,sub-1,19,union,std,0.6560466885566711,0.49186962842941284
738,rs,sub-CTS201,14,union,std,0.5507431030273438,0.45874178409576416
737,rr,sub-CTS201,6,union,mean,393.9454345703125,56.287906646728516
736,rr,sub-CTS210,20,union,mean,112.13651275634766,6.891357421875
735,rs,sub-xp207,10,union,mean,456.9134826660156,50.10640335083008
734,rr.rs,sub-adult15,14,union,sig,8.233810578775264,0.7729357126138622
733,rr,sub-1,11,union,std,0.9364970326423645,0.936010479927063
732,rr,sub-xp207,14,union,std,0.8203602433204651,0.969677209854126
731,rr,sub-adult15,8,union,mean,3851.681640625,813.3497924804688
730,rs,sub-36,19,union,sig,9.443133849943814,0.7426345632827569
729,rr,sub-adult15,9,union,sig,8.206915963264128,1.0293762382655918
