,prefix,dataset,subject,fwh,mask,stat,mean,std
599,rr,ds001771,sub-36,9,union,mean,0.7341911196708679,0.15205131471157074
598,rr.rs,ds000256,sub-CTS201,13,union,std,0.0016869683749973774,0.002005909103900194
597,rs,ds001600,sub-1,17,union,std,0.0016105753602460027,0.0015882435254752636
596,rr,ds002338,sub-xp201,0,union,std,0.013414782471954823,0.0034305239096283913
595,rr,ds000256,sub-CTS210,20,union,std,0.009397775866091251,0.002880871994420886
594,rs,ds002338,sub-xp207,7,union,mean,0.5672279000282288,0.09946516901254654
593,rr,ds001771,sub-36,6,union,mean,0.6779098510742188,0.1450737863779068
592,rs,ds001748,sub-adult15,7,union,sig,7.679295857273733,1.6988525939734713
591,rr.rs,ds002338,sub-xp201,2,union,mean,0.4774360954761505,0.09356611967086792
590,rs,ds001771,sub-36,0,union,sig,4.2228934180756434,0.4207047203164027
589,rs,ds001748,sub-adult16,4,union,sig,7.5206607746368705,1.2187442928681032
588,rr.rs,ds002338,sub-xp207,13,union,sig,5.606948057311967,0.44344575706167044
587,rr.rs,ds000256,sub-CTS201,2,union,mean,0.6389237642288208,0.13130521774291992
586,rs,ds002338,sub-xp207,12,union,sig,5.682238060718508,0.49104495211624966
585,rr,ds001771,sub-36,10,union,mean,0.7398831248283386,0.15193040668964386
584,rr,ds000256,sub-CTS210,9,union,std,0.009678601287305355,0.006007343530654907
583,rr.rs,ds002338,sub-xp201,13,union,std,0.023091768845915794,0.009535226970911026
582,rs,ds001748,sub-adult16,16,union,std,0.0033465148881077766,0.001815850380808115
581,rr.rs,ds001600,sub-1,20,union,mean,0.7015760540962219,0.14312151074409485
580,rs,ds001771,sub-36,8,union,sig,6.856375010647747,1.0826858240319335
579,rs,ds002338,sub-xp201,12,union,std,0.003012221772223711,0.0004927687114104629
578,rr.rs,ds001771,sub-36,0,union,mean,0.5241387486457825,0.0988336130976677
577,rr,ds002338,sub-xp201,8,union,std,0.006583256646990776,0.0010688978945836425
576,rs,ds002338,sub-xp207,6,union,std,0.008107614703476429,0.0063197556883096695
575,rs,ds001748,sub-adult16,12,union,std,0.0026266202330589294,0.0017046368448063731
574,rr.rs,ds002338,sub-xp201,17,union,std,0.014071442186832428,0.0073640234768390656
573,rs,ds002338,sub-xp207,2,union,std,0.015047390013933182,0.008925561793148518
572,rs,ds002338,sub-xp201,16,union,std,0.0026877643540501595,0.00044425492524169385
571,rs,ds002338,sub-xp201,14,union,mean,0.6093626618385315,0.11333134025335312
570,rr.rs,ds002338,sub-xp207,17,union,sig,6.009417302667851,0.44811614955081674
569,rs,ds001748,sub-adult16,0,union,sig,5.044947223888478,0.5550630703181043
568,rs,ds001600,sub-1,2,union,mean,0.6631195545196533,0.14161883294582367
567,rr.rs,ds001748,sub-adult16,2,union,mean,0.6150482296943665,0.1728718876838684
566,rs,ds002338,sub-xp207,16,union,sig,5.876563728054946,0.4700775087289448
565,rr,ds001748,sub-adult15,6,union,mean,0.6568533778190613,0.1891496330499649
564,rs,ds002338,sub-xp207,20,union,sig,6.2263303073216,0.49291261706893513
563,rs,ds001748,sub-adult15,18,union,mean,0.5945711731910706,0.16819438338279724
562,rr.rs,ds000256,sub-CTS201,6,union,sig,2.834029221429507,0.06769802915553252
561,rs,ds000256,sub-CTS201,7,union,sig,4.371841751071476,0.20328910168835182
560,rr,ds001600,sub-1,11,union,sig,7.545548604428117,1.4595647753056795
559,rs,ds001748,sub-adult15,5,union,mean,0.6557740569114685,0.18937958776950836
558,rr,ds001748,sub-adult15,9,union,mean,0.6396660208702087,0.18087142705917358
557,rr,ds001748,sub-adult16,14,union,std,0.0026661751326173544,0.0013892730930820107
556,rs,ds002338,sub-xp201,20,union,std,0.002741473261266947,0.000424490513978526
555,rs,ds001748,sub-adult15,17,union,mean,0.5927865505218506,0.1706453114748001
554,rs,ds001748,sub-adult16,20,union,mean,0.6332306265830994,0.15884342789649963
553,rr.rs,ds001600,sub-1,3,union,mean,0.6872792840003967,0.14185374975204468
552,rr,ds001771,sub-36,6,union,std,0.0029839978087693453,0.002441326156258583
551,rr.rs,ds000256,sub-CTS210,2,union,mean,0.5602075457572937,0.08157210052013397
550,rr,ds001748,sub-adult16,10,union,std,0.001888395519927144,0.001403320231474936
549,rr,ds001748,sub-adult16,10,union,mean,0.6179394125938416,0.1851245015859604
548,rs,ds001748,sub-adult16,20,union,std,0.0026557680685073137,0.001572038047015667
547,rr,ds001771,sub-36,2,union,std,0.002760782837867737,0.0037212648894637823
546,rr.rs,ds000256,sub-CTS201,2,union,sig,2.9678038783625995,0.13243093607410222
545,rr.rs,ds002338,sub-xp207,9,union,sig,5.237980406930414,0.4305119870834364
544,rr,ds001600,sub-1,15,union,sig,7.737327008228691,1.3640907044634307
543,rs,ds000256,sub-CTS201,3,union,sig,5.720700134520964,0.5491665466394506
542,rr.rs,ds000256,sub-CTS210,17,union,std,0.0035165983717888594,0.0032386912498623133
541,rs,ds001600,sub-1,10,union,mean,0.673324704170227,0.15662719309329987
540,rr,ds000256,sub-CTS210,16,union,std,0.00538236740976572,0.004819255322217941
539,rr,ds001748,sub-adult16,18,union,std,0.0026530190370976925,0.0012887903722003102
538,rr.rs,ds001748,sub-adult16,15,union,mean,0.624362051486969,0.16678771376609802
537,rr.rs,ds000256,sub-CTS210,14,union,mean,0.8685809969902039,0.06668297201395035
536,rr,ds002338,sub-xp207,13,union,mean,0.5075048804283142,0.08587232232093811
535,rs,ds000256,sub-CTS201,5,union,mean,0.684549868106842,0.1526578813791275
534,rr.rs,ds002338,sub-xp207,1,union,sig,2.7970675777651866,0.40300395504723635
533,rr,ds001600,sub-1,19,union,sig,7.602840254672788,1.0981682922853095
532,rr.rs,ds002338,sub-xp207,5,union,sig,4.346585652221485,0.4253165733420897
531,rr.rs,ds002338,sub-xp201,13,union,mean,0.6044434905052185,0.111067034304142
530,rr,ds000256,sub-CTS201,20,union,std,0.001928024459630251,0.0013532135635614395
529,rr.rs,ds001771,sub-36,10,union,mean,0.7394759058952332,0.15214398503303528
528,rr.rs,ds000256,sub-CTS210,13,union,std,0.004016922786831856,0.0037939315661787987
527,rr.rs,ds000256,sub-CTS201,12,union,mean,0.6953829526901245,0.15230873227119446
526,rr,ds000256,sub-CTS210,12,union,std,0.00678291218355298,0.005437561776489019
525,rs,ds000256,sub-CTS210,8,union,std,0.012850881554186344,0.008728810586035252
524,rr,ds001771,sub-36,17,union,sig,7.022772871331632,1.2919161239812353
523,rs,ds001600,sub-1,8,union,std,0.0027959803119301796,0.002694744849577546
522,rr,ds002338,sub-xp207,13,union,sig,5.5964913553270454,0.42081798393932723
521,rr.rs,ds002338,sub-xp201,3,union,sig,3.2053888131073514,0.39532825214140715
520,rr,ds001748,sub-adult15,4,union,std,0.0037451102398335934,0.003974838647991419
519,rr,ds001600,sub-1,11,union,mean,0.6780155301094055,0.1545410454273224
518,rr.rs,ds001748,sub-adult15,14,union,sig,6.424813284175602,1.2920301590551388
517,rr.rs,ds001748,sub-adult15,5,union,std,0.0028977387119084597,0.003336511552333832
516,rr.rs,ds000256,sub-CTS210,9,union,std,0.00666886568069458,0.00467623071745038
515,rr.rs,ds001600,sub-1,1,union,std,0.01365333329886198,0.007957307621836662
514,rs,ds000256,sub-CTS201,11,union,sig,7.668147932436416,1.5635169518551382
513,rr,ds002338,sub-xp201,13,union,std,0.004188937600702047,0.0004831683181691915
512,rr,ds001600,sub-1,4,union,std,0.0033686975948512554,0.004894261714071035
511,rr,ds001600,sub-1,0,union,std,0.011304114013910294,0.00736558111384511
510,rr,ds002338,sub-xp201,17,union,std,0.0030179517343640327,0.0004492953885346651
509,rs,ds000256,sub-CTS201,15,union,sig,7.503264107851844,1.4956122944039891
508,rr.rs,ds001600,sub-1,5,union,std,0.004032972734421492,0.005106364842504263
507,rs,ds001748,sub-adult15,19,union,sig,7.447062276579401,1.419325291706025
506,rr,ds001748,sub-adult15,0,union,std,0.014295550994575024,0.007064265664666891
505,rr.rs,ds002338,sub-xp201,7,union,sig,4.102228245959667,0.7548882102926384
504,rr,ds000256,sub-CTS201,3,union,mean,0.6604801416397095,0.13451384007930756
