,prefix,subject,fwh,mask,stat,mean,std
1426,rr,sub-xp207,4,union,std,3.0151076316833496,6.036457061767578
1425,rs,sub-xp201,14,union,mean,623.5853881835938,67.27603149414062
1424,rs,sub-adult16,0,union,sig,7.578764181112323,1.8348988248805913
1423,rr,sub-xp207,12,union,sig,8.631153545630566,1.1281780728805606
1422,rr.rs,sub-xp207,14,union,mean,454.8082275390625,42.53096389770508
1421,rs,sub-CTS210,9,union,std,0.6456269025802612,0.6783334612846375
1420,rr.rs,sub-adult16,5,union,sig,8.642571565054972,1.4768153966637947
1419,rr.rs,sub-CTS210,8,union,sig,7.158547194791388,1.5084301059021472
1418,rs,sub-adult15,11,union,sig,8.161346147491443,0.8403627005199057
1417,rs,sub-36,12,union,mean,399.4561462402344,40.654354095458984
1416,rr.rs,sub-adult16,1,union,sig,7.623804774909326,1.900800463532895
1415,rr,sub-xp207,16,union,sig,8.816621327071841,1.0006741659314464
1414,rr,sub-36,8,union,sig,9.16562073032973,1.1451402577927878
1413,rr,sub-adult16,0,union,mean,5670.4736328125,1668.571533203125
1412,rs,sub-adult16,3,union,mean,5643.44970703125,1434.5716552734375
1411,rs,sub-adult15,15,union,sig,8.291793026332199,0.7709584405833052
1410,rs,sub-36,3,union,mean,412.5169982910156,64.29137420654297
1409,rr.rs,sub-36,1,union,mean,414.89898681640625,78.28153991699219
1408,rr,sub-xp201,16,union,std,0.47959351539611816,0.4243713319301605
1407,rr,sub-xp207,0,union,std,7.5578694343566895,13.347485542297363
1406,rs,sub-adult16,4,union,sig,8.593077986089453,1.4063726592774823
1405,rr.rs,sub-1,18,union,std,3.403228282928467,0.4454942047595978
1404,rr.rs,sub-36,7,union,sig,8.965425396965806,1.2354413103729691
1403,rr.rs,sub-xp207,3,union,mean,463.0132751464844,84.23440551757812
1402,rr,sub-CTS210,20,union,std,0.26035115122795105,0.22938254475593567
1401,rr,sub-36,0,union,sig,7.480616205870235,1.6525393086414322
1400,rr.rs,sub-CTS201,12,union,mean,389.63336181640625,44.48782730102539
1399,rs,sub-xp207,9,union,mean,457.55120849609375,52.79535675048828
